id;titulo;descripcion;tipo_contenido;contenido;fecha;audio;audio_content_type;video;video_content_type;imagen_1;imagen_1_content_type;imagen_2;imagen_2_content_type;banner;banner_content_type;estado_publicacion;tipo_consumo;valor;impuesto
1;help-desk;Personal Loan Account Refined RAM;DE_GRUPO;../fake-data/blob/hipster.txt;2019-08-05;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;RECHAZADO;GRATIS;1260;IVA19
2;blue innovate Officer;SQL programming;INSTITUCIONAL;../fake-data/blob/hipster.txt;2019-08-04;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;RECHAZADO;GRATIS;49421;IVA6
3;Fresh Ergonomic program;Fresh out-of-the-box;DE_GRUPO;../fake-data/blob/hipster.txt;2019-08-05;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;APROBADO;PAGO;12626;IVA6
4;Colombian Peso Unidad de Valor Real;SMTP;INTERNO;../fake-data/blob/hipster.txt;2019-08-05;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;BORRADOR;PAGO;30531;IVA19
5;systems;Interactions SSL transmit;DE_GRUPO;../fake-data/blob/hipster.txt;2019-08-05;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;RECHAZADO;PAGO;54664;IPOCONSUMO8
6;primary Landing Books;driver Principal;DE_GRUPO;../fake-data/blob/hipster.txt;2019-08-04;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;PUBLICADO;PAGO;96281;IPOCONSUMO8
7;Falkland Islands (Malvinas) invoice Courts;Bahamian Dollar;GENERAL;../fake-data/blob/hipster.txt;2019-08-05;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;APROBADO;GRATIS;29991;IVA19
8;matrices visionary Officer;Awesome Streamlined;CORPORATIVO;../fake-data/blob/hipster.txt;2019-08-04;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;APROBADO;GRATIS;11493;ICO
9;Refined Frozen Towels Beauty North Korean Won;support;INSTITUCIONAL;../fake-data/blob/hipster.txt;2019-08-05;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;EN_REVISION;GRATIS;23743;IVA6
10;Technician web-enabled;Investment Account;INSTITUCIONAL;../fake-data/blob/hipster.txt;2019-08-04;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;RECHAZADO;PAGO;4564;IVA0
