id;mensaje;fecha;leido
1;Assistant Western Sahara;2019-08-05T13:04:54;false
2;Marketing utilize;2019-08-05T05:56:47;true
3;generate Liaison;2019-08-05T03:43:46;true
4;Chad compress;2019-08-04T19:11:28;true
5;B2C compressing;2019-08-04T22:10:56;false
6;Sleek Plastic Chicken;2019-08-05T08:42:45;false
7;connecting Guadeloupe Towels;2019-08-05T01:12:25;false
8;platforms Auto Loan Account Bedfordshire;2019-08-05T05:33:21;true
9;circuit middleware local area network;2019-08-04T20:10:41;true
10;lime enable;2019-08-05T14:15:05;true
