id;razon_social;nit;direccion;telefono;correo;celular
1;Kids;withdrawal Sh;South Carolina;Ferry;Cambridgeshire;Generic Metal Gloves Administrator Devolved
2;Rustic;data-warehous;Home Loan Account;Manager open-source;orange Soap;Suriname models
3;optical;Ports pink;Iraq Buckinghamshire;interface;Supervisor Inverse Granite;Jewelery logistical
4;Belize Dollar sky blue Savings Account;SportsXXX;Personal Loan Account;primary;Sleek Cotton Computer intermediate withdrawal;compressing Rustic
5;Wooden FTP;alarmXXXX;cross-platform Investment Account;Key mobile Direct;Licensed withdrawal Quality;markets Extended programming
6;Triple-buffered;Stream withdr;Points Polarised Senior;Cambridgeshire Computer;Analyst bandwidth Small Steel Computer;alarm Licensed Steel Computer Books
7;Buckinghamshire facilitate Green;holistic rebo;e-business;Awesome invoice;Gorgeous Cotton Chair Ergonomic Cambridgeshire;regional compress Personal Loan Account
8;Djibouti Franc Music;Money Market ;Generic Frozen Hat Camp Principal;back-end;Wall;Investment Account
9;Legacy Slovenia;deposit Steel;Unbranded Savings Account;seize;Japan maximize;Response
10;Research;tan TCP invoi;New Taiwan Dollar;SCSI;Universal Egypt invoice;Wall
