id;titular_factura;tipo_persona;periodicidad_facturacion;maximo_monto;valor
1;Generic El Salvador Colon US Dollar purple;JURIDICA;SEMANAL;90870;16075
2;connecting;JURIDICA;TRIMESTRAL;98118;55984
3;Concrete expedite;JURIDICA;BIMESTRAL;43224;96299
4;24/365 deposit Mobility;JURIDICA;MENSUAL;6783;94729
5;Chicken;JURIDICA;TRIMESTRAL;99014;97348
6;Architect calculate Rubber;NATURAL;MENSUAL;27362;46853
7;Group Practical GB;NATURAL;MENSUAL;77282;68049
8;deposit;JURIDICA;BIMESTRAL;41972;85736
9;Coordinator compress;NATURAL;QUINCENAL;86812;65166
10;efficient RSS Neck;NATURAL;BIMESTRAL;84478;53035
