id;titulo;descripcion;imagen_1;imagen_1_content_type;imagen_2;imagen_2_content_type;tipo_contenido;contenido;fecha
1;empower Unbranded Plastic Shirt;Gorgeous Auto Loan Account Granite;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;INSTITUCIONAL;../fake-data/blob/hipster.txt;2019-08-05
2;Seychelles Rupee Tasty Cotton Keyboard;clear-thinking disintermediate mindshare;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;CORPORATIVO;../fake-data/blob/hipster.txt;2019-08-05
3;Guyana Dollar secured line;Usability calculating Sports;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;INSTITUCIONAL;../fake-data/blob/hipster.txt;2019-08-04
4;Generic Fresh Chicken;Metal;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;DE_GRUPO;../fake-data/blob/hipster.txt;2019-08-05
5;Investment Account;reboot Fantastic Steel Gloves;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;DE_GRUPO;../fake-data/blob/hipster.txt;2019-08-04
6;withdrawal HDD Checking Account;deposit Direct;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;INSTITUCIONAL;../fake-data/blob/hipster.txt;2019-08-04
7;reboot;Refined Granite Chips Fresh;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;INTERNO;../fake-data/blob/hipster.txt;2019-08-05
8;Meadow;Maryland;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;CORPORATIVO;../fake-data/blob/hipster.txt;2019-08-04
9;pink Row;deposit navigating Uzbekistan Sum;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;CORPORATIVO;../fake-data/blob/hipster.txt;2019-08-05
10;PNG;Flat cross-platform;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;GENERAL;../fake-data/blob/hipster.txt;2019-08-05
