id;nombre;descripcion;telefono_negocio;numero_puestos;tarifa;fotografia;fotografia_content_type;impuesto
1;input Rhode Island Tuna;Gloves;parse user-facing;53955;4317;../fake-data/blob/hipster.png;image/png;IVA6
2;Manager Borders Pizza;interface Saint Lucia;generate Money Market Account;10593;56502;../fake-data/blob/hipster.png;image/png;IPOCONSUMO8
3;New York PNG initiatives;Overpass;open-source;74171;72646;../fake-data/blob/hipster.png;image/png;IVA19
4;deposit knowledge user input;Home Loan Account magenta dynamic;Martinique Albania synthesizing;83996;3531;../fake-data/blob/hipster.png;image/png;IVA6
5;Croatian Kuna hack;implementation XML Liaison;deploy payment;78039;88619;../fake-data/blob/hipster.png;image/png;IPOCONSUMO8
6;withdrawal Clothing;Books;Pants Bacon;38767;9299;../fake-data/blob/hipster.png;image/png;IVA0
7;protocol Awesome;Oklahoma;Generic Granite Chicken Auto Loan Account;60214;26982;../fake-data/blob/hipster.png;image/png;ICO
8;deposit Car;out-of-the-box mobile program;connecting Japan enable;12237;32819;../fake-data/blob/hipster.png;image/png;ICO
9;1080p parse;Paradigm deposit systems;Buckinghamshire Computer;68591;40990;../fake-data/blob/hipster.png;image/png;IVA6
10;mint green Maine;strategic Clothing Toys;Indiana Denar Paradigm;78258;94067;../fake-data/blob/hipster.png;image/png;IPOCONSUMO8
