id;recurso;tipo;unidad_medida;valor_unitario;valor_1_h;valor_2_h;valor_3_h;valor_4_h;valor_5_h;valor_6_h;valor_7_h;valor_8_h;valor_9_h;valor_10_h;valor_11_h;valor_12_h;impuesto;foto;foto_content_type;video;video_content_type
1;User-friendly;Cantidad;convergence pricing structure;83965;28249;14381;35305;43010;89409;90375;94645;84584;89255;40094;41944;76310;ICO;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;Illinois;Cantidad;TCP orchid;7115;36435;6900;29524;94078;87949;50692;46000;40941;9505;81087;82674;83582;IPOCONSUMO8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;input world-class hacking;Cantidad;full-range;93100;3757;39182;12786;54670;76554;53202;1;59043;41656;6133;52251;36217;ICO;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;Diverse;Cantidad;Team-oriented Movies;72934;19111;96684;31008;22429;73172;66304;64063;74189;41594;84842;75906;42262;IVA0;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;Sharable client-server Cotton;Cantidad;ivory index Montenegro;14960;66101;38068;7845;41446;54449;75382;70932;2067;16732;26901;78063;51759;IPOCONSUMO8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;executive Personal Loan Account;Tiempo;quantify;10251;78073;51385;70848;50889;17208;36928;97241;93292;44881;82750;15902;69720;IVA6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;solid state Metal;Tiempo;global Jewelery Intelligent Wooden Pants;21339;33561;66514;97852;15732;85653;11887;70116;76471;72705;67105;56207;43532;ICO;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;cross-platform circuit;Cantidad;Jewelery;70369;61591;97025;84327;43766;9751;23497;55898;70487;50108;81712;70619;54643;IVA0;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;Cambridgeshire Wooden Data;Cantidad;back-end Guyana Dollar Money Market Account;31654;87141;81641;67270;50151;79668;7089;25046;31286;62487;93529;57174;85068;IVA0;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;Intelligent Rubber Chair;Tiempo;best-of-breed;62129;93499;33404;43054;73269;87798;40452;60550;6835;24713;78375;35585;28575;IPOCONSUMO8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
