id;registro_fecha_entrada;registro_fecha_salida;estado_reserva
1;2019-08-04T18:30:55;2019-08-05T13:23:09;Cerrado
2;2019-08-05T02:33:37;2019-08-05T05:23:19;Cerrado
3;2019-08-04T23:23:02;2019-08-05T05:24:23;Extendido
4;2019-08-05T09:06:17;2019-08-05T09:39:08;Cerrado
5;2019-08-05T14:43:30;2019-08-05T00:55:01;Disponible
6;2019-08-05T01:31:53;2019-08-05T10:54:47;Disponible
7;2019-08-05T09:21:43;2019-08-04T15:28:08;Cerrado
8;2019-08-04T16:31:57;2019-08-04T23:09:51;Extendido
9;2019-08-05T08:09:45;2019-08-05T07:25:20;Ocupado
10;2019-08-04T18:50:35;2019-08-05T14:33:40;Cerrado
