id;nombre;descripcion;valor_minimo;valor_maximo
1;PNG compressing azure;Data migration dynamic;50563;27149
2;Synergized artificial intelligence Regional;South Georgia and the South Sandwich Islands;50313;34889
3;Sweden;Silver copying RSS;74835;41451
4;Kids clear-thinking;Som Fish;69394;38480
5;Avon;Fish Sports;71873;53188
6;haptic capacity Belgium;Grocery Fish;89085;88166
7;Plastic;Awesome Cross-group;51922;21189
8;customer loyalty Car;morph;23420;33567
9;parse;Personal Loan Account Massachusetts;41577;75386
10;EXE Solomon Islands Dollar;El Salvador Colon US Dollar Mouse;50011;32755
