id;registro_fecha_inicio;registro_fecha_final;tipo_registro
1;2019-08-04T22:44:54;2019-08-04T22:56:16;Inicio
2;2019-08-05T06:02:39;2019-08-04T16:31:56;Fin
3;2019-08-05T10:25:23;2019-08-04T20:27:18;Inicio
4;2019-08-04T15:25:49;2019-08-05T08:31:49;Inicio
5;2019-08-05T04:49:49;2019-08-04T17:14:43;Fin
6;2019-08-05T12:43:26;2019-08-04T15:54:10;Fin
7;2019-08-04T21:29:23;2019-08-05T10:38:35;Fin
8;2019-08-05T13:25:18;2019-08-05T08:51:22;Fin
9;2019-08-05T08:45:14;2019-08-05T00:03:43;Fin
10;2019-08-04T22:38:39;2019-08-04T15:57:15;Inicio
